"FLIGHT_KEY","TAIL_NUMBER","FLIGHT_NUMBER","CANCELLED","DIVERTED","ORIGIN_AIRPORT","DESTINATION_AIRPORT","CUSTOMER_ID","THE_YEAR","THE_MONTH","THE_DAY","DB_SOURCE"
"3638","N977AT","2694","0","0","JFK","BOS","108","2018","1","20","FLIGHT_2018"
"413","N3GYAA","1653","0","0","JFK","CLT","108","2017","1","1","FLIGHT_2017"
"3482","N789AA","199","0","0","JFK","BOS","104","2017","1","1","FLIGHT_2017"
"790","N3GXAA","2314","0","0","JFK","BOS","109","2017","1","1","FLIGHT_2017"
"4660","N981AT","2670","0","0","JFK","BOS","109","2018","9","23","FLIGHT_2018"
"4858","N981AT","2676","0","0","JFK","BOS","100","2018","9","28","FLIGHT_2018"
"799","N3DMAA","1664","0","0","JFK","BOS","107","2017","1","1","FLIGHT_2017"
"1661","N119US","2069","0","0","JFK","CLT","10","2017","1","1","FLIGHT_2017"
"5086","N3GRAA","2314","1","0","JFK","BOS","102","2017","2","2","FLYU_FLIGHTS"
"87","unknown","291","1","0","JFK","AUS","100","2017","1","1","FLIGHT_2017"
"1262","N3AVAA","1443","0","0","JFK","BOS","106","2017","1","1","FLIGHT_2017"
"4385","N972AT","2692","0","0","JFK","BOS","10","2018","5","20","FLIGHT_2018"
"4032","N910AT","2666","0","0","JFK","BOS","108","2018","5","6","FLIGHT_2018"
"4840","N948UW","2152","0","0","JFK","BOS","105","2018","12","21","FLIGHT_2018"
"4631","N997AT","2684","0","0","JFK","BOS","102","2018","9","15","FLIGHT_2018"
"2780","N540UW","600","0","0","JFK","CLT","107","2017","1","1","FLIGHT_2017"
"4472","N985AT","2686","0","0","JFK","BOS","109","2018","6","4","FLIGHT_2018"
"4790","N961UW","2146","0","0","JFK","BOS","10","2018","12","6","FLIGHT_2018"
"891","N3JRAA","1653","0","0","JFK","CLT","102","2017","1","1","FLIGHT_2017"
"1236","N723UW","1770","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"1985","N107US","1919","0","0","JFK","CLT","108","2017","1","1","FLIGHT_2017"
"1671","N711UW","1770","0","0","JFK","CLT","109","2017","1","1","FLIGHT_2017"
"1408","N3HMAA","1443","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"3919","N948UW","2136","0","0","JFK","BOS","105","2018","3","9","FLIGHT_2018"
"4634","N961UW","2158","0","0","JFK","BOS","105","2018","9","16","FLIGHT_2018"
"3490","N562UW","2057","0","0","JFK","CLT","101","2017","1","1","FLIGHT_2017"
"3711","N922AT","2690","0","0","JFK","BOS","100","2018","3","20","FLIGHT_2018"
"4558","N741EV","5074","0","0","JFK","BHM","106","2018","8","21","FLIGHT_2018"
"4454","N944UW","2131","0","0","JFK","BOS","102","2018","6","1","FLIGHT_2018"
"3741","N978AT","2672","0","0","JFK","BOS","108","2018","3","26","FLIGHT_2018"
"439","N3EWAA","84","0","0","JFK","BOS","103","2017","1","1","FLIGHT_2017"
"2361","N520UW","670","0","0","JFK","CLT","103","2017","1","1","FLIGHT_2017"
"2791","N3AEAA","2580","0","0","JFK","BOS","107","2017","1","1","FLIGHT_2017"
"3516","N603AT","2666","0","0","JFK","BOS","100","2018","1","7","FLIGHT_2018"
"4502","N974AT","2674","0","0","JFK","BOS","106","2018","6","10","FLIGHT_2018"
"2735","N3JEAA","330","1","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"1198","N3FDAA","67","0","0","JFK","AUS","101","2017","1","1","FLIGHT_2017"
"1434","N163US","1970","0","0","JFK","CLT","104","2017","1","1","FLIGHT_2017"
"1311","N3JWAA","199","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"3408","N919US","600","0","0","JFK","CLT","105","2017","1","1","FLIGHT_2017"
"4073","N710EV","5169","0","0","JFK","BHM","105","2018","5","12","FLIGHT_2018"
"1042","N721UW","1770","0","0","JFK","CLT","107","2017","1","1","FLIGHT_2017"
"1907","N110UW","1919","0","0","JFK","CLT","108","2017","1","1","FLIGHT_2017"
"2633","N827AW","2019","0","0","JFK","CLT","103","2017","1","1","FLIGHT_2017"
"1243","N104UW","2069","0","0","JFK","CLT","102","2017","1","1","FLIGHT_2017"
"3271","N805AW","1986","0","0","JFK","CLT","105","2017","1","1","FLIGHT_2017"
"4153","N959AT","2674","0","0","JFK","BOS","109","2018","4","15","FLIGHT_2018"
"4782","N899AT","2670","0","0","JFK","BOS","102","2018","12","4","FLIGHT_2018"
"675","N3BAAA","84","0","0","JFK","BOS","106","2017","1","1","FLIGHT_2017"
"4732","N929AT","2666","0","0","JFK","BOS","105","2018","8","2","FLIGHT_2018"
"740","N3CFAA","235","0","0","JFK","BOS","105","2017","1","1","FLIGHT_2017"
